iter	Passed	Remaining
0	4	2232
1	9	2253
2	16	2762
3	24	2994
4	27	2752
5	34	2856
6	41	2955
7	49	3040
8	53	2931
9	62	3047
10	68	3047
11	72	2955
12	76	2868
13	84	2932
14	90	2919
15	102	3110
16	107	3052
17	111	2998
18	118	3005
19	126	3039
20	133	3046
21	136	2964
22	144	2999
23	150	2991
24	157	2986
25	164	3005
26	170	2989
27	177	2994
28	180	2939
29	185	2909
30	192	2914
31	196	2869
32	204	2887
33	210	2889
34	218	2901
35	225	2904
36	232	2910
37	239	2910
38	247	2927
39	254	2921
40	261	2927
41	267	2921
42	274	2921
43	281	2915
44	285	2886
45	291	2880
46	298	2872
47	305	2875
48	311	2871
49	319	2876
50	325	2869
51	330	2849
52	335	2827
53	339	2803
54	342	2770
55	349	2769
56	356	2772
57	363	2770
58	371	2776
59	377	2766
60	385	2770
61	388	2744
62	396	2746
63	403	2746
64	407	2728
65	415	2729
66	421	2725
67	428	2724
68	435	2719
69	443	2726
70	450	2720
71	457	2720
72	463	2712
73	482	2777
74	491	2783
75	498	2781
76	505	2776
77	512	2774
78	519	2768
79	527	2767
80	533	2761
81	540	2755
82	547	2748
83	554	2746
84	560	2736
85	568	2735
86	575	2730
87	583	2731
88	586	2708
89	594	2710
90	601	2702
91	609	2704
92	612	2681
93	620	2680
94	625	2664
95	633	2665
96	640	2660
97	648	2658
98	656	2657
99	665	2662
100	673	2661
101	683	2667
102	689	2658
103	697	2655
104	704	2648
105	711	2646
106	718	2638
107	726	2635
108	731	2622
109	739	2620
110	745	2612
111	753	2609
112	757	2595
113	766	2595
114	773	2590
115	786	2602
116	793	2596
117	799	2589
118	806	2582
119	811	2570
120	817	2561
121	825	2557
122	827	2537
123	835	2532
124	841	2524
125	849	2521
126	855	2512
127	863	2508
128	870	2504
129	878	2499
130	881	2482
131	888	2476
132	891	2461
133	895	2445
134	902	2438
135	909	2432
136	915	2426
137	922	2420
138	929	2414
139	936	2407
140	943	2401
141	950	2396
142	957	2391
143	964	2384
144	972	2380
145	975	2366
146	983	2362
147	986	2346
148	990	2332
149	997	2326
150	1003	2320
151	1011	2316
152	1018	2310
153	1027	2307
154	1029	2292
155	1037	2287
156	1043	2280
157	1047	2266
158	1054	2261
159	1059	2250
160	1066	2244
161	1068	2229
162	1075	2224
163	1081	2216
164	1085	2204
165	1092	2199
166	1099	2191
167	1103	2181
168	1111	2176
169	1117	2169
170	1124	2163
171	1130	2156
172	1138	2151
173	1145	2145
174	1153	2141
175	1159	2134
176	1167	2130
177	1173	2123
178	1182	2119
179	1188	2112
180	1192	2101
181	1198	2094
182	1204	2087
183	1211	2080
184	1217	2073
185	1225	2068
186	1231	2061
187	1238	2055
188	1244	2047
189	1251	2042
190	1258	2036
191	1266	2031
192	1269	2018
193	1276	2014
194	1279	2001
195	1283	1990
196	1286	1978
197	1293	1973
198	1300	1966
199	1307	1961
200	1310	1949
201	1317	1943
202	1323	1937
203	1329	1929
204	1335	1922
205	1339	1911
206	1342	1899
207	1349	1894
208	1356	1888
209	1363	1882
210	1369	1876
211	1374	1866
212	1380	1860
213	1383	1849
214	1390	1843
215	1397	1837
216	1404	1832
217	1411	1825
218	1418	1820
219	1425	1813
220	1432	1808
221	1438	1801
222	1446	1796
223	1453	1790
224	1460	1784
225	1466	1778
226	1474	1773
227	1481	1767
228	1487	1760
229	1493	1753
230	1501	1748
231	1508	1742
232	1515	1736
233	1521	1729
234	1528	1723
235	1534	1716
236	1542	1711
237	1548	1704
238	1555	1698
239	1561	1691
240	1569	1686
241	1575	1679
242	1583	1674
243	1589	1667
244	1595	1660
245	1603	1655
246	1610	1649
247	1617	1643
248	1624	1637
249	1631	1631
250	1637	1624
251	1643	1617
252	1651	1612
253	1657	1605
254	1666	1601
255	1672	1594
256	1680	1589
257	1688	1583
258	1696	1578
259	1703	1572
260	1711	1567
261	1717	1560
262	1725	1555
263	1732	1548
264	1740	1543
265	1746	1536
266	1754	1531
267	1761	1524
268	1768	1518
269	1775	1512
270	1783	1507
271	1790	1500
272	1796	1493
273	1803	1487
274	1810	1480
275	1816	1474
276	1823	1468
277	1829	1461
278	1837	1455
279	1844	1449
280	1851	1443
281	1858	1436
282	1865	1430
283	1872	1424
284	1879	1417
285	1886	1411
286	1893	1405
287	1900	1399
288	1907	1392
289	1914	1386
290	1922	1380
291	1928	1373
292	1935	1367
293	1942	1360
294	1949	1354
295	1954	1347
296	1961	1340
297	1968	1334
298	1975	1328
299	1982	1321
300	1989	1315
301	1996	1308
302	2011	1307
303	2017	1301
304	2023	1293
305	2030	1287
306	2037	1280
307	2043	1274
308	2051	1267
309	2057	1261
310	2067	1256
311	2074	1249
312	2082	1244
313	2088	1236
314	2095	1230
315	2103	1224
316	2111	1219
317	2118	1212
318	2126	1206
319	2132	1199
320	2140	1193
321	2146	1186
322	2154	1180
323	2160	1173
324	2167	1167
325	2173	1160
326	2181	1154
327	2188	1147
328	2195	1140
329	2202	1134
330	2209	1128
331	2216	1121
332	2223	1115
333	2229	1108
334	2238	1102
335	2244	1095
336	2251	1089
337	2258	1082
338	2265	1076
339	2272	1069
340	2278	1062
341	2284	1055
342	2292	1049
343	2299	1042
344	2307	1036
345	2313	1029
346	2321	1023
347	2327	1016
348	2335	1010
349	2341	1003
350	2349	997
351	2355	990
352	2362	983
353	2369	977
354	2376	970
355	2383	964
356	2389	957
357	2396	950
358	2404	944
359	2411	937
360	2418	931
361	2425	924
362	2432	918
363	2439	911
364	2447	905
365	2453	898
366	2461	891
367	2467	885
368	2475	878
369	2482	872
370	2489	865
371	2496	858
372	2503	852
373	2509	845
374	2517	839
375	2524	832
376	2532	826
377	2538	819
378	2547	813
379	2554	806
380	2561	799
381	2568	793
382	2575	786
383	2582	779
384	2589	773
385	2595	766
386	2602	760
387	2610	753
388	2616	746
389	2623	739
390	2631	733
391	2638	727
392	2647	720
393	2653	713
394	2662	707
395	2668	700
396	2675	694
397	2684	687
398	2693	681
399	2700	675
400	2707	668
401	2714	661
402	2722	655
403	2728	648
404	2736	641
405	2742	634
406	2749	628
407	2756	621
408	2764	614
409	2770	608
410	2778	601
411	2785	594
412	2793	588
413	2800	581
414	2807	574
415	2814	568
416	2821	561
417	2827	554
418	2834	547
419	2841	541
420	2848	534
421	2854	527
422	2861	520
423	2869	514
424	2875	507
425	2882	500
426	2889	494
427	2896	487
428	2904	480
429	2910	473
430	2919	467
431	2925	460
432	2933	453
433	2940	447
434	2947	440
435	2953	433
436	2960	426
437	2966	419
438	2973	413
439	2980	406
440	2988	399
441	2995	393
442	3002	386
443	3008	379
444	3015	372
445	3023	366
446	3030	359
447	3036	352
448	3043	345
449	3050	338
450	3057	332
451	3063	325
452	3070	318
453	3076	311
454	3083	304
455	3089	298
456	3096	291
457	3103	284
458	3110	277
459	3117	271
460	3124	264
461	3130	257
462	3137	250
463	3144	243
464	3152	237
465	3158	230
466	3165	223
467	3172	216
468	3179	210
469	3184	203
470	3192	196
471	3198	189
472	3206	183
473	3212	176
474	3220	169
475	3228	162
476	3235	156
477	3242	149
478	3250	142
479	3257	135
480	3265	128
481	3271	122
482	3279	115
483	3285	108
484	3292	101
485	3298	95
486	3305	88
487	3311	81
488	3318	74
489	3324	67
490	3331	61
491	3338	54
492	3345	47
493	3352	40
494	3359	33
495	3365	27
496	3372	20
497	3379	13
498	3386	6
499	3393	0
