latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
26.56062,101.67899,331.37,0.4,0.37,2026-08-20,0637,N,nominal,2.0NRT,298.66,5.72,D
26.57629,101.668,338.08,0.4,0.37,2026-08-20,0637,N,nominal,2.0NRT,292.74,9.15,D
26.57573,101.66409,331.89,0.4,0.37,2026-08-20,0637,N,nominal,2.0NRT,292.57,4.62,D
36.49905,101.82346,331.15,0.49,0.4,2026-08-20,0640,N,low,2.0NRT,305.54,1.59,D
36.57077,101.45684,334.93,0.47,0.4,2026-08-20,0640,N,nominal,2.0NRT,299.69,4.08,D
36.69379,101.46407,330.74,0.47,0.4,2026-08-20,0640,N,nominal,2.0NRT,300.26,3.02,D
36.85898,101.7578,340.7,0.49,0.4,2026-08-20,0640,N,nominal,2.0NRT,306.32,4.39,D
36.85616,101.75672,335.15,0.49,0.4,2026-08-20,0640,N,nominal,2.0NRT,306.33,4.78,D
36.8654,101.7382,332.6,0.49,0.4,2026-08-20,0640,N,low,2.0NRT,306.96,6.41,D
36.88635,101.72318,335.32,0.49,0.4,2026-08-20,0640,N,low,2.0NRT,308.55,3.59,D
38.38992,90.16131,340.14,0.4,0.44,2026-08-20,0642,N,low,2.0NRT,311.55,1.76,D
39.84224,98.27504,350.08,0.4,0.37,2026-08-20,0642,N,nominal,2.0NRT,313.1,4,D
6.21678,80.89765,336.55,0.39,0.37,2026-08-20,0813,N,nominal,2.0NRT,290.98,5.99,D
6.21973,80.87165,331.93,0.39,0.37,2026-08-20,0813,N,nominal,2.0NRT,289.93,2.19,D
6.29387,81.24715,336.98,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,290.41,4.01,D
6.35584,81.14819,338.11,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,295.78,4.63,D
6.3817,81.29693,336.87,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,295.15,5.74,D
6.35923,81.14768,337.82,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,294.97,4.63,D
6.52056,81.05968,347.19,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.28,8.84,D
6.48633,80.71687,345.02,0.39,0.36,2026-08-20,0813,N,nominal,2.0NRT,294.02,11.31,D
6.54586,80.97478,330.9,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.53,2.84,D
6.56569,80.94603,338.96,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.94,2.49,D
6.6259,81.25217,331.08,0.4,0.37,2026-08-20,0813,N,low,2.0NRT,303.44,2.46,D
6.62535,81.24851,334.21,0.4,0.37,2026-08-20,0813,N,low,2.0NRT,304.46,2.46,D
6.6253,81.24866,335.44,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,304.65,6.04,D
6.60576,80.88501,332.03,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,299.29,1.81,D
6.75499,81.74423,343.94,0.42,0.38,2026-08-20,0813,N,nominal,2.0NRT,299.7,6.92,D
6.72233,81.24533,337.11,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,298.65,2.22,D
6.70792,80.98251,338.65,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,297.44,4.57,D
6.72316,81.06162,335.84,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,297.22,3,D
6.7872,81.46957,336.68,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,299.78,3.08,D
6.72654,81.06101,350.79,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,299.01,10.21,D
6.73046,81.06409,346.72,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,296.21,10.21,D
6.72991,81.06036,356.7,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,299.67,10.21,D
6.73328,81.05975,355.31,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.3,24.32,D
6.8106,81.48529,345.87,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,301.07,5.58,D
6.77269,81.20744,334.47,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,297.52,3.34,D
6.71841,80.84508,333.17,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,297.79,2.78,D
6.77621,81.18446,347.85,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,298.8,5.73,D
6.82714,81.50195,342.25,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,302.17,4.96,D
6.83426,81.43214,333.02,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.34,1.38,D
6.80653,81.24734,331.85,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,298.55,3.4,D
6.96545,81.61172,351.89,0.42,0.37,2026-08-20,0813,N,nominal,2.0NRT,303.5,35.28,D
6.95979,81.57388,335.24,0.42,0.37,2026-08-20,0813,N,nominal,2.0NRT,298.94,2.57,D
7.04992,81.78621,336.11,0.42,0.38,2026-08-20,0813,N,nominal,2.0NRT,298.23,2.52,D
7.19321,81.76139,336.44,0.42,0.38,2026-08-20,0813,N,nominal,2.0NRT,301.04,5.62,D
7.30818,81.85501,335.17,0.43,0.38,2026-08-20,0813,N,nominal,2.0NRT,295.63,6.5,D
7.30823,81.83119,330.47,0.43,0.38,2026-08-20,0813,N,nominal,2.0NRT,295.54,5.92,D
7.30599,81.79197,347.92,0.43,0.38,2026-08-20,0813,N,nominal,2.0NRT,296.19,10.5,D
7.21973,81.14264,336.15,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,293.15,2.06,D
7.2192,81.13906,331.21,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,293.6,4.19,D
7.32629,81.8325,339.07,0.43,0.38,2026-08-20,0813,N,nominal,2.0NRT,291.25,6.35,D
7.32287,81.78553,342.25,0.43,0.38,2026-08-20,0813,N,nominal,2.0NRT,294.83,4.13,D
7.31885,81.75852,345.08,0.43,0.38,2026-08-20,0813,N,nominal,2.0NRT,295.81,9.86,D
7.2488,81.26661,340.23,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,290.57,2.65,D
7.32988,81.76083,338.64,0.43,0.38,2026-08-20,0813,N,nominal,2.0NRT,292.51,2.56,D
7.34035,81.75928,335.49,0.43,0.38,2026-08-20,0813,N,nominal,2.0NRT,291.33,3.59,D
7.27521,81.11919,334.07,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,296.52,2.61,D
7.32756,81.21307,336.06,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,294.63,3.91,D
7.33153,81.21626,340.26,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,294.76,3.1,D
7.33097,81.21256,346.04,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,296.19,6.96,D
7.33495,81.21577,333.8,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,294.24,3.1,D
7.3295,81.04007,334.27,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,297.01,3.78,D
7.40332,81.2776,334.13,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,295.31,3.27,D
7.38607,81.11382,330.98,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.35,1.97,D
7.38552,81.11015,343.3,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.03,1.97,D
7.38948,81.11331,331.24,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,299.88,4.26,D
7.38893,81.10962,353.09,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,301.89,4.26,D
7.4271,80.96945,337.48,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,301.21,4.02,D
7.45602,81.09219,341.46,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.15,6.89,D
7.45547,81.08854,339.59,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,298.74,4.91,D
7.50069,81.27799,338.29,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,292.39,3.74,D
7.50024,80.96915,336.72,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,301.6,3.78,D
7.52982,80.93488,339.22,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,301.13,4.45,D
7.52927,80.93124,342.64,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,301.62,4.45,D
7.53321,80.93436,332.12,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.46,3.36,D
7.57791,80.85709,346.72,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,296.07,5.69,D
7.61121,80.964,347.49,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,299.44,3.96,D
7.61461,80.96349,335.63,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,299.85,3.96,D
7.64815,80.93231,331.57,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.03,2.7,D
7.70978,81.25452,338.33,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,300.73,5,D
7.64166,80.67686,336.86,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,294,3.46,D
7.72984,81.24775,350.83,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,304.44,12.48,D
7.79305,81.15463,336.72,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,299.84,6.44,D
7.92285,81.39185,338.55,0.42,0.37,2026-08-20,0813,N,nominal,2.0NRT,285.73,3.61,D
7.9423,81.31919,332.49,0.42,0.37,2026-08-20,0813,N,nominal,2.0NRT,283.91,3.72,D
7.9452,81.3149,334.77,0.42,0.37,2026-08-20,0813,N,nominal,2.0NRT,284.29,6.62,D
7.94464,81.31114,335.61,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,282.41,3.91,D
7.94184,81.19656,337.62,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,283.16,4.82,D
7.9938,80.16321,330.74,0.39,0.36,2026-08-20,0813,N,nominal,2.0NRT,286.19,2.49,D
8.21754,81.10218,330.44,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,281.72,3.07,D
8.16379,79.83366,347.02,0.39,0.36,2026-08-20,0813,N,nominal,2.0NRT,292.76,5.84,D
8.41734,81.08703,334.09,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,274.8,2.9,D
8.45045,80.81741,330.74,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,288.96,3.69,D
8.68008,80.83871,331.34,0.41,0.37,2026-08-20,0813,N,nominal,2.0NRT,274.97,3.44,D
8.65339,80.63652,332.32,0.4,0.37,2026-08-20,0813,N,nominal,2.0NRT,287.95,2.64,D
