state,n_h3_days,n_unique_cells,industrial_cells,quarry_cells,farmland_cells,power_infra_cells,wri_solar,wri_coal,wri_wind,wri_gas,wri_hydro,wri_biomass,wri_oil,wri_nuclear,flare_candidate_cells,flare_confirmed_cells
Andaman & Nicobar,79,60,3,3,1,4,4,0,0,0,0,0,0,0,0.0,0.0
Andhra Pradesh,85890,54363,17297,6507,14829,22840,5905,2353,433,669,1707,0,0,0,0.0,0.0
Arunachal Pradesh,11139,7248,287,178,2116,1130,0,0,0,9,148,0,0,0,0.0,0.0
Assam,31505,17564,4699,2219,5954,4214,0,167,0,548,761,0,0,0,0.0,0.0
Bihar,39268,18929,3543,1141,2729,7694,55,544,0,0,2,0,0,0,0.0,0.0
Chandigarh,12,8,12,0,2,12,0,0,0,0,0,0,0,0,0.0,0.0
Chhattisgarh,184402,80329,36703,19114,17432,45372,3027,20122,0,0,154,0,0,0,6.0,0.0
Daman and Diu and Dadra and Nagar Haveli,117,86,99,9,48,98,2,0,0,0,0,0,0,0,0.0,0.0
Delhi,812,336,744,2,799,688,31,50,0,564,0,0,0,0,0.0,0.0
Goa,919,526,880,867,868,744,0,0,0,61,0,0,0,0,0.0,0.0
Gujarat,49150,27471,22791,4455,7715,35765,4267,1449,1105,5772,287,0,0,54,5.0,5.0
Haryana,25400,16702,8679,1082,4489,14845,1712,852,0,127,37,0,0,0,0.0,0.0
Himachal Pradesh,8689,6140,1901,1134,1552,3474,9,140,0,0,2204,0,0,0,0.0,0.0
Jammu and Kashmir,8027,5351,426,210,382,1673,0,0,0,0,717,0,48,0,0.0,0.0
Jharkhand,72039,18695,46111,48290,2990,27793,59,13039,0,0,136,0,0,0,9.0,0.0
Karnataka,84865,52749,30439,15953,11856,49783,14126,11286,2084,164,1754,2642,212,4,0.0,0.0
Kerala,3633,2562,1363,1397,2752,1786,34,0,75,20,398,0,220,0,0.0,0.0
Ladakh,20,16,8,4,19,13,0,0,0,0,4,0,0,0,0.0,0.0
Madhya Pradesh,268613,142173,23159,26505,19489,56225,8037,11802,655,381,1994,208,0,0,1.0,0.0
Maharashtra,166883,105610,36701,22423,30973,49983,5910,8812,3676,1610,5999,3189,4575,49,0.0,0.0
Manipur,21331,11858,750,54,6069,2237,0,0,0,0,474,0,0,0,0.0,0.0
Meghalaya,17043,10122,651,626,1229,1749,0,0,0,0,1329,0,0,0,0.0,0.0
Mizoram,19228,11295,459,133,1116,1908,0,0,0,0,255,0,0,0,0.0,0.0
Nagaland,9446,6186,284,262,913,1093,0,0,0,0,157,0,0,0,0.0,0.0
Odisha,159847,72980,46903,26518,7295,48778,8150,18020,0,0,1445,0,0,0,15.0,0.0
Puducherry,196,60,194,0,183,70,15,0,0,38,0,0,0,0,0.0,0.0
Punjab,79470,40300,34791,1823,15604,51792,9279,2163,0,0,300,0,0,0,0.0,0.0
Rajasthan,56445,27650,14492,8316,2312,23202,5756,5918,617,1128,337,113,0,59,0.0,0.0
Sikkim,123,107,38,2,99,65,0,0,0,0,77,0,0,0,0.0,0.0
Tamil Nadu,28701,19912,13109,4629,8032,16118,3089,641,877,413,794,0,129,66,0.0,0.0
Telangana,96648,54794,14419,6599,10407,33180,16744,1914,0,0,1695,0,0,0,0.0,0.0
Tripura,6970,3998,300,175,154,395,11,0,0,262,155,0,0,0,0.0,0.0
Uttar Pradesh,112264,72308,23919,3708,12805,24120,3455,3084,0,1427,841,0,0,54,1.0,0.0
Uttarakhand,23220,15334,3526,1250,3979,5123,1112,0,0,110,1682,0,0,0,0.0,0.0
West Bengal,41606,15498,18781,8225,9286,21168,5904,5957,0,0,977,0,0,0,3.0,0.0
