feature,importance
n_osm_farmland_5km,14.666739956849955
h3_08,9.908480929217097
frp_max_day,9.258865199552758
n_osm_power_infra_5km,5.063932991432702
dist_wri_coal_km,4.469748413980335
n_osm_industrial_5km,4.415610098285762
dist_wri_solar_km,4.352631835637442
dist_wri_hydro_km,4.33789230739627
doy_sin,3.8117155661981923
doy_cos,3.5153260271690785
frp_mean,3.370834388944985
n_osm_quarry_5km,3.1979428516928006
active_days_30d,3.183444995218686
dist_wri_nuclear_km,3.086176613900612
dist_wri_biomass_km,2.8131365723400523
ti4_max,2.8080924788364827
dist_wri_wind_km,2.306019307717822
frp_max_lag30,2.2813362380907662
active_days_7d,1.780925741332079
frp_max_lag7,1.7632445038219333
scan_mean,1.6558006791956106
track_mean,1.4835941651775386
acq_month,1.3280104153214356
track_max,1.2837108645348922
scan_max,1.2209394418468376
daynight,0.7859885492385306
frp_max_night,0.7588582844402599
n_detections_day,0.2217090140923149
n_detections,0.2185571560168794
n_wri_coal_10km,0.15004480905166606
n_detections_night,0.13539659203907212
satellite_nunique,0.12949339766252116
n_wri_solar_10km,0.09860304246322944
pct_high_confidence,0.03808330281848268
n_wri_gas_10km,0.034027657268691246
n_wri_biomass_10km,0.018065525563969544
n_wri_oil_10km,0.015080741198536075
n_wri_hydro_10km,0.014870952756684704
confidence_high_any,0.007012385873172556
n_wri_nuclear_10km,0.005938401799135418
n_osm_mineshaft_5km,0.0021606330707128
n_wri_wind_10km,0.0019569709538612263
n_osm_adit_5km,0.0
