feature,importance
dist_osm_farmland_km,47.815462536434644
frp_max,18.5689553598162
frp_max_day,10.51694211948747
active_days_90d,10.389087362838584
n_osm_quarry_5km,3.4208898079974435
h3_08,2.109767979193107
dist_osm_quarry_km,2.0989906745248086
frp_max_lag30,1.151990235775278
active_days_30d,1.071559387515122
active_days_7d,1.0642222093879694
frp_max_lag7,0.5675422689912365
dist_osm_power_infra_km,0.23278635866602987
frp_mean,0.23144781333361772
n_osm_power_infra_5km,0.18815109883493414
n_osm_industrial_5km,0.1227931468688775
dist_osm_industrial_km,0.0911833670339143
is_first_observation,0.06669182733966789
daynight,0.06293960283573702
frp_max_night,0.03086720441013556
ti4_max,0.02922791581362894
n_detections,0.028080796085256793
dist_wri_gas_km,0.024558623506375794
dist_wri_solar_km,0.023414052150352797
n_detections_day,0.019719784783715413
n_osm_farmland_5km,0.012861799506082358
doy_cos,0.010112469866786643
dist_wri_wind_km,0.009331402662604512
dist_wri_oil_km,0.008435081011469914
acq_month,0.00762130467863647
dist_osm_mineshaft_km,0.0041604218946706085
n_detections_night,0.003391542559198758
dist_osm_adit_km,0.0032665255388173694
scan_max,0.002829339219359164
dist_wri_coal_km,0.0018367372828643883
doy_sin,0.0013535370709682564
dist_wri_biomass_km,0.0013407580913482597
track_mean,0.0012091147982024317
dist_wri_nuclear_km,0.0011645927636161134
is_saturated_max,0.0010346220811843821
n_wri_oil_10km,0.0006680704104786681
scan_mean,0.0005881466276296857
n_wri_hydro_10km,0.0004815378548388069
track_max,0.0002610774479117472
dist_wri_hydro_km,0.00019152406928866047
n_wri_biomass_10km,0.00018497077476788034
satellite_nunique,0.00015289657485362636
n_wri_coal_10km,8.83603278997959e-05
n_wri_wind_10km,7.269398838498198e-05
n_wri_solar_10km,5.1008953623624643e-05
n_wri_gas_10km,3.893032035650161e-05
confidence_high_any,0.0
pct_high_confidence,0.0
n_wri_nuclear_10km,0.0
n_osm_mineshaft_5km,0.0
n_osm_adit_5km,0.0
