number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_learning_rate,user_attrs_best_iteration,state
0,0.99691486950538,2026-09-07 05:10:12.898694,2026-09-07 05:16:57.780893,0 days 00:06:44.882199,0.5986584841970366,10,7.259248719561363,0.02757359293934948,297,COMPLETE
1,0.9953245256241267,2026-09-07 05:16:57.783661,2026-09-07 05:17:26.139485,0 days 00:00:28.355824,0.8661761457749352,5,1.1703388679635254,0.015257808482051183,11,COMPLETE
2,0.9969871174616036,2026-09-07 05:17:26.141957,2026-09-07 05:19:48.504330,0 days 00:02:22.362373,0.9699098521619943,8,1.0573268083515797,0.05092911283433821,116,COMPLETE
3,0.9969871174616036,2026-09-07 05:19:48.506938,2026-09-07 05:20:51.315352,0 days 00:01:02.808414,0.18340450985343382,5,1.6362239850894618,0.09528587217040241,124,COMPLETE
4,0.9942641188946841,2026-09-07 05:20:51.317691,2026-09-07 05:21:43.551651,0 days 00:00:52.233960,0.2912291401980419,7,3.221118935204446,0.02279379523765072,34,COMPLETE
5,0.9968426604396554,2026-09-07 05:21:43.554012,2026-09-07 05:22:49.373522,0 days 00:01:05.819510,0.3663618432936917,4,2.2059149678071015,0.05243180891902853,190,COMPLETE
6,0.99691486950538,2026-09-07 05:22:49.375933,2026-09-07 05:26:33.629348,0 days 00:03:44.253415,0.5142344384136116,9,1.7172542103877864,0.03438586247938296,179,COMPLETE
7,0.99691486950538,2026-09-07 05:26:33.631822,2026-09-07 05:28:11.198738,0 days 00:01:37.566916,0.17052412368729153,4,5.182367293641892,0.049743185797885274,325,COMPLETE
8,0.994192367675786,2026-09-07 05:28:11.201114,2026-09-07 05:31:57.725812,0 days 00:03:46.524698,0.8083973481164611,10,13.666943328202278,0.011926324174062874,142,COMPLETE
9,0.9941296359911147,2026-09-07 05:31:57.728302,2026-09-07 05:32:18.364527,0 days 00:00:20.636225,0.4401524937396013,4,6.378528225249058,0.022816739880816207,2,COMPLETE
10,0.9969871174616036,2026-09-07 05:32:18.366925,2026-09-07 05:35:03.757968,0 days 00:02:45.391043,0.017961875614819656,8,13.81224016952785,0.13562886126060056,151,COMPLETE
11,0.99691486950538,2026-09-07 05:35:03.760505,2026-09-07 05:36:08.071974,0 days 00:01:04.311469,0.9688900852047282,6,1.023235943995143,0.10535296151604254,88,COMPLETE
12,0.99691486950538,2026-09-07 05:36:08.074100,2026-09-07 05:37:17.676269,0 days 00:01:09.602169,0.6971558983400944,7,1.8425328180768472,0.07577065315862874,74,COMPLETE
13,0.9969871174616036,2026-09-07 05:37:17.678892,2026-09-07 05:38:14.393800,0 days 00:00:56.714908,0.029941215523810877,6,1.3801636815345946,0.0770841784030702,71,COMPLETE
14,0.99691486950538,2026-09-07 05:38:14.396056,2026-09-07 05:40:37.335391,0 days 00:02:22.939335,0.21437163559881073,8,2.776546404928044,0.05177309373727983,115,COMPLETE
15,0.99691486950538,2026-09-07 05:40:37.338016,2026-09-07 05:41:33.385022,0 days 00:00:56.047006,0.6768180580956152,6,3.558279929627974,0.08527861992000006,71,COMPLETE
16,0.99691486950538,2026-09-07 05:41:33.387184,2026-09-07 05:42:59.040238,0 days 00:01:25.653054,0.9960165317474353,8,1.5003914502845033,0.14392991912211073,38,COMPLETE
17,0.99691486950538,2026-09-07 05:42:59.042404,2026-09-07 05:44:04.498833,0 days 00:01:05.456429,0.12870997019648978,5,1.0097482777021496,0.03976045144946159,131,COMPLETE
18,0.9969871174616036,2026-09-07 05:44:04.501482,2026-09-07 05:46:47.246700,0 days 00:02:42.745218,0.46140483948688765,9,2.304598136572512,0.06588978804953906,106,COMPLETE
19,0.9969871174616036,2026-09-07 05:46:47.249875,2026-09-07 05:47:47.097466,0 days 00:00:59.847591,0.8072952004801166,7,1.4438788748751432,0.11006748525695328,51,COMPLETE
