state,n_h3_days,n_unique_cells,industrial_cells,quarry_cells,farmland_cells,power_infra_cells,wri_solar,wri_coal,wri_wind,wri_gas,wri_hydro,wri_biomass,wri_oil,wri_nuclear,flare_candidate_cells,flare_confirmed_cells
Andaman & Nicobar,79,60,2,2,1,3,3,0,0,0,0,0,0,0,0.0,0.0
Andhra Pradesh,85890,54363,8881,3671,8508,13296,3556,304,265,443,974,0,0,0,0.0,0.0
Arunachal Pradesh,11139,7248,203,117,1442,769,0,0,0,6,111,0,0,0,0.0,0.0
Assam,31505,17564,2032,1419,2952,2136,0,35,0,84,421,0,0,0,0.0,0.0
Bihar,39268,18929,2019,786,1421,3516,45,240,0,0,2,0,0,0,0.0,0.0
Chandigarh,12,8,8,0,2,8,0,0,0,0,0,0,0,0,0.0,0.0
Chhattisgarh,184402,80329,5734,3388,5908,10116,1296,3887,0,0,109,0,0,0,6.0,0.0
Daman and Diu and Dadra and Nagar Haveli,117,86,69,7,34,68,2,0,0,0,0,0,0,0,0.0,0.0
Delhi,812,336,310,2,329,306,26,46,0,177,0,0,0,0,0.0,0.0
Goa,919,526,491,486,480,378,0,0,0,49,0,0,0,0,0.0,0.0
Gujarat,49150,27471,8368,1656,1991,18130,1719,440,497,786,202,0,0,49,5.0,5.0
Haryana,25400,16702,4920,552,2692,9687,841,441,0,73,30,0,0,0,0.0,0.0
Himachal Pradesh,8689,6140,996,418,1166,2175,8,109,0,0,1484,0,0,0,0.0,0.0
Jammu and Kashmir,8027,5351,298,148,288,1204,0,0,0,0,504,0,33,0,0.0,0.0
Jharkhand,72039,18695,3914,4555,964,2443,34,783,0,0,104,0,0,0,9.0,0.0
Karnataka,84865,52749,14511,5769,7745,29012,9195,1678,1490,72,748,1966,129,3,0.0,0.0
Kerala,3633,2562,965,986,1959,1290,29,0,57,18,291,0,38,0,0.0,0.0
Ladakh,20,16,5,3,15,9,0,0,0,0,3,0,0,0,0.0,0.0
Madhya Pradesh,268613,142173,9666,11292,9374,25567,2300,3899,432,173,1207,158,0,0,1.0,0.0
Maharashtra,166883,105610,18424,10723,18713,28808,3660,3064,2328,813,3698,2467,919,36,0.0,0.0
Manipur,21331,11858,417,39,3276,1302,0,0,0,0,244,0,0,0,0.0,0.0
Meghalaya,17043,10122,360,364,816,934,0,0,0,0,765,0,0,0,0.0,0.0
Mizoram,19228,11295,295,93,679,1219,0,0,0,0,141,0,0,0,0.0,0.0
Nagaland,9446,6186,185,181,622,701,0,0,0,0,114,0,0,0,0.0,0.0
Odisha,159847,72980,7293,3093,3151,10614,1512,1219,0,0,894,0,0,0,15.0,0.0
Puducherry,196,60,58,0,58,54,10,0,0,29,0,0,0,0,0.0,0.0
Punjab,79470,40300,18130,923,7980,26699,5301,1118,0,0,199,0,0,0,0.0,0.0
Rajasthan,56445,27650,3571,2066,1009,7571,2016,1275,298,569,193,64,0,53,0.0,0.0
Sikkim,123,107,35,2,86,58,0,0,0,0,67,0,0,0,0.0,0.0
Tamil Nadu,28701,19912,8004,3092,5431,10438,2208,259,527,167,494,0,90,57,0.0,0.0
Telangana,96648,54794,8224,2442,6348,18739,9832,677,0,0,903,0,0,0,0.0,0.0
Tripura,6970,3998,234,139,94,287,10,0,0,202,95,0,0,0,0.0,0.0
Uttar Pradesh,112264,72308,14079,1963,7945,14412,2058,1558,0,315,377,0,0,42,1.0,0.0
Uttarakhand,23220,15334,2153,776,2630,3313,697,0,0,76,1119,0,0,0,0.0,0.0
West Bengal,41606,15498,2236,549,1609,3399,678,652,0,0,210,0,0,0,3.0,0.0
